"ID","Date","Year","Method_EN","Ti.1_So.2_Ha.3","Crop.type","Main.crop.or.cover.crop","Coordinates..center.of.the.field.","Country","Farm","geometry","Crop","type","Month"
281,"2024-01-18",2024,"Sowing",2,"Winter wheat","Main crop","12.9280312556435,45.6235671895389","NL","Unifarm","MULTIPOLYGON (((12.928809 45.622879, 12.930697 45.623414, 12.930874 45.623175, 12.928483 45.62249, 12.926825 45.622022, 12.926729 45.622292, 12.928809 45.622879)),((12.92802 45.622975, 12.9305 45.623681, 12.930682 45.623435, 12.928797 45.6229, 12.92672 45.622314, 12.926592 45.622574, 12.92802 45.622975)),((12.927975 45.623287, 12.930304 45.623945, 12.930485 45.623701, 12.928008 45.622996, 12.926581 45.622596, 12.926454 45.622856, 12.927975 45.623287)),((12.926311 45.623135, 12.927574 45.623489, 12.929302 45.623984, 12.929336 45.623937, 12.929388 45.623924, 12.930124 45.62415, 12.93016 45.624141, 12.93029 45.623965, 12.927963 45.623308, 12.926443 45.622877, 12.926311 45.623135)),((12.926094 45.623392, 12.928005 45.623929, 12.929116 45.624247, 12.929288 45.624005, 12.927562 45.62351, 12.926297 45.623155, 12.926108 45.623373, 12.926094 45.623392)),((12.928923 45.624518, 12.929101 45.624267, 12.927993 45.62395, 12.926079 45.623412, 12.9259 45.62366, 12.928923 45.624518)),((12.925777 45.623944, 12.927293 45.624369, 12.928736 45.624782, 12.928909 45.624538, 12.925885 45.62368, 12.925783 45.623887, 12.925777 45.623944)),((12.925765 45.624318, 12.928512 45.625097, 12.928721 45.624802, 12.927281 45.62439, 12.925775 45.623968, 12.925743 45.624294, 12.925765 45.624318)))","Winter crop",2,"January"
282,"2023-07-10",2023,"Harvesting",3,"Winter barley","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Winter crop",3,"July"
282,"2024-09-20",2024,"Harvesting",3,"Sugar beet","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Summer crop",3,"September"
282,"2024-09-26",2024,"Sowing",2,"Fodder radish","Cover crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Cover crop",2,"September"
282,"2024-04-30",2024,"Sowing",2,"Sugar beet","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Summer crop",2,"April"
282,"2022-10-10",2022,"Sowing",2,"Winter barley","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Winter crop",2,"October"
283,"2023-09-07",2023,"Harvesting",3,"Summer barley","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Summer crop",3,"September"
283,"2023-09-12",2023,"Sowing",2,"Other","Cover crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Cover crop",2,"September"
283,"2023-05-26",2023,"Sowing",2,"Summer barley","Main crop","12.9348254867204,45.6228373810845","NL","Unifarm","MULTIPOLYGON (((12.936867 45.622946, 12.93505 45.622433, 12.933393 45.621963, 12.932198 45.621627, 12.93202 45.62187, 12.933909 45.622409, 12.936266 45.623075, 12.937834 45.623522, 12.938013 45.623279, 12.936867 45.622946)),((12.931825 45.622137, 12.933431 45.622591, 12.93565 45.623219, 12.93764 45.623785, 12.937819 45.623542, 12.936254 45.623095, 12.933897 45.62243, 12.932006 45.62189, 12.931825 45.622137)),((12.93163 45.622402, 12.933088 45.622811, 12.935185 45.623406, 12.937444 45.624052, 12.937626 45.623805, 12.935638 45.62324, 12.933419 45.622612, 12.93181 45.622157, 12.93163 45.622402)))","Summer crop",2,"May"
284,"2023-12-07",2023,"Harvesting",3,"Sugar beet","Main crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Summer crop",3,"December"
284,"2024-09-19",2024,"Sowing",2,"Other","Cover crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Cover crop",2,"September"
284,"2023-04-20",2023,"Sowing",2,"Sugar beet","Main crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Summer crop",2,"April"
284,"2024-04-10",2024,"Sowing",2,"Summer triticale","Main crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Summer crop",2,"April"
285,"2023-10-02",2023,"Harvesting",3,"Potatoes","Main crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Summer crop",3,"October"
285,"2023-05-25",2023,"Sowing",2,"Potatoes","Main crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Summer crop",2,"May"
285,"2023-07-13",2023,"Sowing",2,"Other","Cover crop","12.9682092716294,45.6339938921062","NL","Unifarm","MULTIPOLYGON (((12.968504 45.633785, 12.967187 45.63331, 12.967006 45.633555, 12.968185 45.633976, 12.969471 45.63444, 12.969662 45.634199, 12.968504 45.633785)),((12.968171 45.633996, 12.966992 45.633575, 12.966813 45.633818, 12.967733 45.634151, 12.968982 45.6346, 12.969137 45.634565, 12.969279 45.63454, 12.969394 45.634522, 12.969408 45.63452, 12.969456 45.63446, 12.968171 45.633996)))","Cover crop",2,"July"
286,"2024-07-08",2024,"Harvesting",3,"Rapeseed","Main crop","12.9328503758571,45.6254816193911","NL","Unifarm","MULTIPOLYGON (((12.931015 45.62449, 12.930847 45.624739, 12.931652 45.62497, 12.933373 45.625455, 12.935073 45.625939, 12.935252 45.625701, 12.934757 45.625563, 12.933261 45.62513, 12.93146 45.624617, 12.931015 45.62449)),((12.93065 45.625031, 12.930484 45.625277, 12.930866 45.625385, 12.932163 45.625756, 12.933605 45.626163, 12.934676 45.626467, 12.934859 45.626224, 12.934379 45.626088, 12.932928 45.625674, 12.931281 45.625211, 12.93065 45.625031)))","Winter crop",3,"July"
286,"2024-08-30",2024,"Sowing",2,"Mixture","Cover crop","12.9328503758571,45.6254816193911","NL","Unifarm","MULTIPOLYGON (((12.931015 45.62449, 12.930847 45.624739, 12.931652 45.62497, 12.933373 45.625455, 12.935073 45.625939, 12.935252 45.625701, 12.934757 45.625563, 12.933261 45.62513, 12.93146 45.624617, 12.931015 45.62449)),((12.93065 45.625031, 12.930484 45.625277, 12.930866 45.625385, 12.932163 45.625756, 12.933605 45.626163, 12.934676 45.626467, 12.934859 45.626224, 12.934379 45.626088, 12.932928 45.625674, 12.931281 45.625211, 12.93065 45.625031)))","Cover crop",2,"August"
286,"2023-08-24",2023,"Sowing",2,"Rapeseed","Main crop","12.9328503758571,45.6254816193911","NL","Unifarm","MULTIPOLYGON (((12.931015 45.62449, 12.930847 45.624739, 12.931652 45.62497, 12.933373 45.625455, 12.935073 45.625939, 12.935252 45.625701, 12.934757 45.625563, 12.933261 45.62513, 12.93146 45.624617, 12.931015 45.62449)),((12.93065 45.625031, 12.930484 45.625277, 12.930866 45.625385, 12.932163 45.625756, 12.933605 45.626163, 12.934676 45.626467, 12.934859 45.626224, 12.934379 45.626088, 12.932928 45.625674, 12.931281 45.625211, 12.93065 45.625031)))","Winter crop",2,"August"
287,"2023-10-04",2023,"Harvesting",3,"Sugar beet","Main crop","12.9328503758571,45.6254816193911","NL","Unifarm","MULTIPOLYGON (((12.931015 45.62449, 12.930847 45.624739, 12.931652 45.62497, 12.933373 45.625455, 12.935073 45.625939, 12.935252 45.625701, 12.934757 45.625563, 12.933261 45.62513, 12.93146 45.624617, 12.931015 45.62449)),((12.93065 45.625031, 12.930484 45.625277, 12.930866 45.625385, 12.932163 45.625756, 12.933605 45.626163, 12.934676 45.626467, 12.934859 45.626224, 12.934379 45.626088, 12.932928 45.625674, 12.931281 45.625211, 12.93065 45.625031)))","Summer crop",3,"October"
287,"2023-10-16",2023,"Sowing",2,"Fodder radish","Cover crop","12.9328503758571,45.6254816193911","NL","Unifarm","MULTIPOLYGON (((12.931015 45.62449, 12.930847 45.624739, 12.931652 45.62497, 12.933373 45.625455, 12.935073 45.625939, 12.935252 45.625701, 12.934757 45.625563, 12.933261 45.62513, 12.93146 45.624617, 12.931015 45.62449)),((12.93065 45.625031, 12.930484 45.625277, 12.930866 45.625385, 12.932163 45.625756, 12.933605 45.626163, 12.934676 45.626467, 12.934859 45.626224, 12.934379 45.626088, 12.932928 45.625674, 12.931281 45.625211, 12.93065 45.625031)))","Cover crop",2,"October"
287,"2023-04-18",2023,"Sowing",2,"Sugar beet","Main crop","12.9333779905963,45.624824483262","NL","Unifarm","MULTIPOLYGON (((12.930644 45.623751, 12.930467 45.623992, 12.932361 45.624531, 12.934278 45.625073, 12.936275 45.625642, 12.936459 45.625401, 12.935097 45.625008, 12.932895 45.624385, 12.930644 45.623751)),((12.934266 45.625094, 12.932349 45.624551, 12.930453 45.624012, 12.930322 45.624189, 12.930334 45.624212, 12.931024 45.624414, 12.931043 45.624449, 12.931028 45.62447, 12.931472 45.624596, 12.933273 45.62511, 12.934769 45.625542, 12.935267 45.625681, 12.935284 45.625659, 12.935338 45.625645, 12.936085 45.625855, 12.936121 45.625845, 12.93626 45.625662, 12.934266 45.625094)))","Summer crop",2,"April"
287,"2024-05-13",2024,"Sowing",2,"Potatoes","Main crop","12.9333779905963,45.624824483262","NL","Unifarm","MULTIPOLYGON (((12.930644 45.623751, 12.930467 45.623992, 12.932361 45.624531, 12.934278 45.625073, 12.936275 45.625642, 12.936459 45.625401, 12.935097 45.625008, 12.932895 45.624385, 12.930644 45.623751)),((12.934266 45.625094, 12.932349 45.624551, 12.930453 45.624012, 12.930322 45.624189, 12.930334 45.624212, 12.931024 45.624414, 12.931043 45.624449, 12.931028 45.62447, 12.931472 45.624596, 12.933273 45.62511, 12.934769 45.625542, 12.935267 45.625681, 12.935284 45.625659, 12.935338 45.625645, 12.936085 45.625855, 12.936121 45.625845, 12.93626 45.625662, 12.934266 45.625094)))","Summer crop",2,"May"
287,"2024-10-15",2024,"Sowing",2,"Other","Cover crop","12.9333779905963,45.624824483262","NL","Unifarm","MULTIPOLYGON (((12.930644 45.623751, 12.930467 45.623992, 12.932361 45.624531, 12.934278 45.625073, 12.936275 45.625642, 12.936459 45.625401, 12.935097 45.625008, 12.932895 45.624385, 12.930644 45.623751)),((12.934266 45.625094, 12.932349 45.624551, 12.930453 45.624012, 12.930322 45.624189, 12.930334 45.624212, 12.931024 45.624414, 12.931043 45.624449, 12.931028 45.62447, 12.931472 45.624596, 12.933273 45.62511, 12.934769 45.625542, 12.935267 45.625681, 12.935284 45.625659, 12.935338 45.625645, 12.936085 45.625855, 12.936121 45.625845, 12.93626 45.625662, 12.934266 45.625094)))","Cover crop",2,"October"
288,"2023-09-15",2023,"Harvesting",3,"Summer barley","Main crop","12.9333779905963,45.624824483262","NL","Unifarm","MULTIPOLYGON (((12.930644 45.623751, 12.930467 45.623992, 12.932361 45.624531, 12.934278 45.625073, 12.936275 45.625642, 12.936459 45.625401, 12.935097 45.625008, 12.932895 45.624385, 12.930644 45.623751)),((12.934266 45.625094, 12.932349 45.624551, 12.930453 45.624012, 12.930322 45.624189, 12.930334 45.624212, 12.931024 45.624414, 12.931043 45.624449, 12.931028 45.62447, 12.931472 45.624596, 12.933273 45.62511, 12.934769 45.625542, 12.935267 45.625681, 12.935284 45.625659, 12.935338 45.625645, 12.936085 45.625855, 12.936121 45.625845, 12.93626 45.625662, 12.934266 45.625094)))","Summer crop",3,"September"
288,"2024-07-09",2024,"Harvesting",3,"Winter barley","Main crop","12.9333779905963,45.624824483262","NL","Unifarm","MULTIPOLYGON (((12.930644 45.623751, 12.930467 45.623992, 12.932361 45.624531, 12.934278 45.625073, 12.936275 45.625642, 12.936459 45.625401, 12.935097 45.625008, 12.932895 45.624385, 12.930644 45.623751)),((12.934266 45.625094, 12.932349 45.624551, 12.930453 45.624012, 12.930322 45.624189, 12.930334 45.624212, 12.931024 45.624414, 12.931043 45.624449, 12.931028 45.62447, 12.931472 45.624596, 12.933273 45.62511, 12.934769 45.625542, 12.935267 45.625681, 12.935284 45.625659, 12.935338 45.625645, 12.936085 45.625855, 12.936121 45.625845, 12.93626 45.625662, 12.934266 45.625094)))","Winter crop",3,"July"
288,"2024-07-25",2024,"Sowing",2,"Mixture","Cover crop","12.9691477517326,45.6328285371071","NL","Unifarm","MULTIPOLYGON (((12.968269 45.631843, 12.968254 45.631863, 12.968172 45.631975, 12.969618 45.632493, 12.970874 45.632943, 12.970663 45.63267, 12.970349 45.632449, 12.969591 45.632175, 12.968349 45.631735, 12.968269 45.631843)),((12.968013 45.63219, 12.970714 45.633162, 12.970899 45.633037, 12.970909 45.632988, 12.970901 45.632978, 12.969604 45.632513, 12.968157 45.631995, 12.968013 45.63219)),((12.967963 45.632258, 12.967782 45.632503, 12.969295 45.633045, 12.970292 45.633402, 12.970412 45.63325, 12.970478 45.633213, 12.970565 45.633194, 12.970576 45.633193, 12.969418 45.632776, 12.967966 45.632254, 12.967963 45.632258)),((12.970117 45.633623, 12.970276 45.633422, 12.96928 45.633065, 12.967767 45.632523, 12.96762 45.632724, 12.970117 45.633623)),((12.967395 45.633028, 12.968865 45.63356, 12.96988 45.633923, 12.970066 45.633688, 12.969041 45.633316, 12.967571 45.632789, 12.967395 45.633028)))","Cover crop",2,"July"
